,name,Hitcount,Awaycount,Home16count,Home17_perc,Away17_perc,Home16_perc,Comparebarrelrate2017FB_perc,Comparebarrelrate1617_perc
1,George Springer,175,137,161,10.29,10.22,5.59,0.07,4.7
2,Alex Bregman,158,141,51,11.39,14.89,11.76,-3.5,-0.37
3,Yuli Gurriel,147,145,37,14.29,13.1,16.22,1.18,-1.93
4,Jose Altuve,144,153,161,11.11,10.46,18.63,0.65,-7.52
5,Marwin Gonzalez,131,116,116,12.98,12.93,17.24,0.05,-4.26
6,Carlos Beltran,130,111,145,13.85,6.31,7.59,7.54,6.26
7,Josh Reddick,118,143,82,11.02,13.99,15.85,-2.97,-4.84
8,Carlos Correa,108,118,152,12.04,6.78,10.53,5.26,1.51
9,Brian McCann,86,111,121,16.28,12.61,7.44,3.67,8.84
10,Evan Gattis,70,80,77,14.29,17.5,6.49,-3.21,7.79
11,Jake Marisnick,64,70,67,7.81,4.29,7.46,3.53,0.35
12,Derek Fisher,48,43,0,4.17,11.63,4.17,-7.46,0
13,Norichika Aoki,48,63,104,6.25,4.76,22.12,1.49,-15.87
